Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;
V;22.09.2013;23:10;3;3;GEM;15083020;Gemeinde Altenhausen;977;635;19;616;111;299;128;13;16;12;10;2;15;1;9;0;18;617;106;303;161;10;10;15;;;;9;;3;
V;22.09.2013;22:35;4;4;GEM;15083025;Gemeinde Am Großen Bruch;1897;1056;21;1035;221;453;208;34;19;12;25;2;53;3;5;0;29;1027;232;459;234;43;12;33;;;;10;;4;
V;22.09.2013;20:18;4;4;GEM;15083030;Gemeinde Angern;1721;1188;26;1162;231;560;196;25;31;22;34;2;41;3;14;3;31;1157;250;579;218;23;30;39;;;;15;;3;
V;22.09.2013;22:35;4;4;GEM;15083035;Gemeinde Ausleben;1459;755;13;742;146;340;132;12;14;22;36;2;28;2;8;0;13;742;145;348;154;20;18;35;;;;12;;10;
V;22.09.2013;22:35;5;5;GEM;15083040;Gemeinde Barleben;7604;4461;70;4391;866;2049;791;145;148;77;74;5;175;5;51;5;77;4384;738;2301;901;120;122;114;;;;78;;10;
V;22.09.2013;20:18;1;1;GEM;15083060;Gemeinde Beendorf;730;428;9;419;78;215;75;18;8;11;6;0;5;0;3;0;8;420;71;221;94;9;6;13;;;;5;;1;
V;22.09.2013;20:49;2;2;GEM;15083115;Gemeinde Bülstringen;750;459;7;452;80;250;70;7;5;7;7;0;18;2;6;0;10;449;78;250;89;3;6;11;;;;8;;4;
V;22.09.2013;20:18;4;4;GEM;15083120;Gemeinde Burgstall;1364;859;14;845;181;399;122;21;13;13;34;2;47;2;10;1;26;833;184;417;147;15;21;25;;;;20;;4;
V;22.09.2013;21:00;10;10;GEM;15083125;Gemeinde Calvörde;3031;1669;45;1624;339;712;311;55;49;35;26;2;71;4;18;2;52;1617;358;745;342;31;47;68;;;;24;;2;
V;22.09.2013;20:39;2;2;GEM;15083130;Gemeinde Colbitz;2751;1655;34;1621;333;701;297;57;59;30;41;4;69;4;26;0;39;1616;305;751;395;37;41;46;;;;33;;8;
V;22.09.2013;20:18;5;5;GEM;15083190;Gemeinde Eilsleben;3294;1752;37;1715;345;712;359;56;45;45;46;2;77;6;18;4;48;1704;348;707;400;91;49;67;;;;25;;17;
V;22.09.2013;21:00;7;7;GEM;15083205;Gemeinde Erxleben;2510;1552;45;1507;300;692;304;40;37;14;53;1;47;5;10;4;62;1490;294;682;375;32;30;38;;;;22;;17;
V;22.09.2013;20:49;4;4;GEM;15083230;Gemeinde Flechtingen;2363;1387;22;1365;278;617;287;39;41;16;27;1;39;5;12;3;19;1368;275;624;351;22;36;36;;;;18;;6;
V;22.09.2013;22:35;5;5;GEM;15083245;Stadt Gröningen;3092;1613;33;1580;375;657;342;37;29;24;42;4;43;6;17;4;40;1573;375;672;368;55;30;45;;;;20;;8;
V;22.09.2013;21:00;13;13;GEM;15083270;Stadt Haldensleben;15957;7581;149;7432;1705;2986;1571;157;236;153;196;14;310;31;64;9;174;7407;1730;3070;1848;133;222;247;;;;127;;30;
