;LV;Mitglieder;stimmberechtigt;offener Beitrag [EUR]
Ausland;132;15;12730
BB;1004;112;104422
BE;3323;496;316897
BW;2782;692;191724
BY;5694;878;480102
HB;279;28;23822
HE;1656;1160;38037
HH;1052;163;98511
MV;412;92;32561
NI;2537;500;195179
NW;5719;2009;389446
RP;858;616;15436
SH;926;212;60415
SL;435;62;29063
SN;825;204;57387
ST;436;84;22310
TH;501;135;25900
